,Job Title,Rating,Size,Type of ownership,Industry,Revenue,Competitors,Salary_min,Salary_max
0,"Data Analyst, Center on Immigration and Justice (CIJ)",3.2, 500 ,Other,Social Assistance, 500 M ,-1,37,66 
1,Quality Data Analyst,3.8,10000 ,Other,Health Care Services & Hospitals, 5 B ,-1,37,66 
2,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",3.4, 5000 , Private,Internet,Unknown / Non-Applicable,GoDaddy,37,66 
3,Data Analyst,4.1, 500 ,Other,IT Services, 100 M ,-1,37,66 
4,Reporting Data Analyst,3.9, 1000 , Private,Sports & Recreation, 500 M ,DraftKings,37,66 
5,Data Analyst,3.9, 5000 , Private,Investment Banking & Asset Management,Unknown / Non-Applicable,-1,37,66 
6,Business/Data Analyst (FP&A),4.4, 5000 , Private,Investment Banking & Asset Management,Unknown / Non-Applicable,-1,37,66 
7,Data Science Analyst,3.7, 500 , Private,Insurance Carriers, 500 M ,"Travelers, Chubb, Crum & Forster",37,66 
8,Data Analyst,4.0, 10000 , Public,Venture Capital & Private Equity, 2 B ,"Thomson Reuters, Hearst, Pearson",37,66 
9,"Data Analyst, Merchant Health",4.4, 1000 , Private,Research & Development,Unknown / Non-Applicable,"Signifyd, Forter",37,66 
10,Data Analyst,4.0,10000 ,Other,Health Care Services & Hospitals, 10 B ,"NewYork-Presbyterian Hospital, Northwell Health",37,66 
11,Data Analyst,-1.0, 50 , Private,-1,Unknown / Non-Applicable,-1,37,66 
12,DATA ANALYST,3.7,10000 ,Other,Health Care Services & Hospitals, 5 B ,-1,37,66 
13,Senior Data Analyst,3.0, 500 , Private,Advertising & Marketing, 500 M ,-1,37,66 
14,Investment Advisory Data Analyst,3.4, 5000 , Private,Brokerage Services, 5 M ,-1,37,66 
15,Sustainability Data Analyst,3.6, 50 , Private,Building & Personnel Services,Unknown / Non-Applicable,-1,37,66 
16,Data Analyst,3.8, 500 ,Other,Advertising & Marketing,Unknown / Non-Applicable,"DoubleClick, Specific Media, Collective",37,66 
17,Clinical Data Analyst,3.8, 200 ,Other,Consulting, 50 M ,"KPMG, Accenture, Deloitte",37,66 
18,DATA PROGRAMMER/ANALYST,3.9, 1000 ,Other,Research & Development, 500 M ,-1,37,66 
19,Data Analyst,4.9, 200 , Private,Internet,Unknown / Non-Applicable,-1,37,66 
20,"Product Analyst, Data Science",4.4,10000 , Public,Internet,10 B ,"Microsoft, Apple, Facebook",37,66 
21,Data Science Analyst,-1.0,Unknown, Public,-1,Unknown / Non-Applicable,-1,37,66 
22,Data Analyst - Intex Developer,3.3,10000 , Public,Investment Banking & Asset Management, 10 B ,"Goldman Sachs, Commonwealth Bank of Australia, Deutsche Bank",37,66 
23,Data Analyst,3.5, 500 , Private,Casual Restaurants, 5 M ,-1,37,66 
24,Entry Level / Jr. Data Analyst,3.8, 50 ,Other,-1,Unknown / Non-Applicable,-1,37,66 
25,Data Analyst,4.0, 50 , Private,Advertising & Marketing,Less than 1 M ,-1,37,66 
26,Data + Business Intelligence Analyst,5.0, 500 , Private,Internet, 25 M ,-1,37,66 
27,"Data Analyst, Product",4.8, 200 , Private,Health Care Services & Hospitals,Unknown / Non-Applicable,-1,37,66 
28,Data Analyst Entry Level,3.7, 50 , Private,Advertising & Marketing, 5 M ,-1,37,66 
29,Data Analyst,4.7, 50 , Private,Research & Development,Unknown / Non-Applicable,-1,37,66 
30,Data Analyst,3.6, 200 , Private,Consulting, 50 M ,-1,46,87 
31,Data Analyst,3.6, 50 , Private,Enterprise Software & Network Solutions, 5 M ,-1,46,87 
32,Data Analyst,3.5, 50 ,Other,-1,Less than 1 M ,-1,46,87 
33,"Data Science Analyst, Capital Markets",3.2, 5000 , Private,Lending,Unknown / Non-Applicable,-1,46,87 
34,Data Analyst (Games),-1.0,-1,Other,-1,-1,-1,46,87 
35,Analyst/Associate Global Markets Credit Data Analyst,3.7,10000 , Public,Banks & Credit Unions,10 B ,-1,46,87 
36,Data Business Analyst,-1.0, 200 , Public,-1, 5 M ,-1,46,87 
37,Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,3.6, 50 , Private,Computer Hardware & Software,Less than 1 M ,-1,46,87 
38,Data Science Analyst/Engineer,4.0,10000 ,Other,Health Care Services & Hospitals, 10 B ,"NewYork-Presbyterian Hospital, Northwell Health",46,87 
39,Data Analyst,4.6, 200 ,Other,Social Assistance, 25 M ,-1,46,87 
40,"Business Analyst, Data Platforms",-1.0, 50 , Private,-1,Unknown / Non-Applicable,-1,46,87 
41,Behavioral Data Analyst,-1.0, 5000 , Public,-1,Unknown / Non-Applicable,-1,46,87 
42,Data Analyst,5.0, 200 , Private,-1,Unknown / Non-Applicable,-1,46,87 
43,Data Analyst -1+ year Contract - NYC,4.0, 50 , Private,Staffing & Outsourcing, 5 M ,-1,46,87 
44,Data Analyst,3.0, 500 , Private,Internet,Unknown / Non-Applicable,"Hired, Indeed, AngelList",46,87 
45,Data Analyst,2.9, 5000 , Private,Staffing & Outsourcing, 1 B ,-1,46,87 
46,Advertising Data Analyst,4.0, 50 , Private,Advertising & Marketing,Less than 1 M ,-1,46,87 
47,Data Analyst,3.6, 1000 , Private,Advertising & Marketing, 500 M ,"Criteo, AppNexus, dataxu",46,87 
48,Market Data Reporting Analyst,4.9, 50 , Private,Brokerage Services,Unknown / Non-Applicable,-1,46,87 
49,"Senior Analyst, Data Science",3.9, 5000 , Public,IT Services, 1 B ,-1,46,87 
50,"Senior Data Analyst, Disney+",4.0,10000 , Public,Motion Picture Production & Distribution,10 B ,"News Corp, WarnerMedia, NBCUniversal",46,87 
51,"Office of the CAO | Reference Data, Project Manager/Business Analyst",3.8, 5000 , Private,-1, 100 M ,"Soros Fund Management, D. E. Shaw & Co. - Investment Firm, Fortress Investment Group",46,87 
52,Business Data Analyst,3.7, 5000 , Private,IT Services, 500 M ,"Persistent Systems (India), GlobalLogic, Synechron",46,87 
53,Senior Data Analyst,3.6, 200 , Private,Brokerage Services,Unknown / Non-Applicable,-1,46,87 
54,Data Scientist / Big Data Analytics Analyst,3.6, 500 , Public,Staffing & Outsourcing, 100 M ,-1,46,87 
55,Data Reporting Analyst,-1.0,-1,Other,-1,-1,-1,46,87 
56,"Principal Data Analyst, LATAM - Disney Streaming Services",4.0,10000 , Public,Motion Picture Production & Distribution,10 B ,"News Corp, WarnerMedia, NBCUniversal",46,87 
57,Data Analyst II,3.2, 5000 , Private,Legal, 1 B ,-1,46,87 
58,"Data Analyst - Environmental, Social, and Governance",3.8,10000 , Private,Computer Hardware & Software,Unknown / Non-Applicable,"Google, Goldman Sachs, Thomson Reuters",46,87 
59,Data Analyst,3.9, 200 , Private,Real Estate, 50 M ,-1,46,87 
60,"Data Analyst, Revenue Analytics",4.8, 200 , Private,Health Care Services & Hospitals,Unknown / Non-Applicable,-1,51,88 
61,Data Analyst - Data Acquisition / Data Lineage,3.6, 5000 , Public,IT Services, 1 B ,-1,51,88 
62,Data Analyst - Data Scanning utilizing Rochade,3.6, 5000 , Public,IT Services, 1 B ,-1,51,88 
63,Data Analyst - Stitching,3.6, 5000 , Public,IT Services, 1 B ,-1,51,88 
64,Junior Data Analyst,4.1,10000 , Public,Staffing & Outsourcing, 2 B ,-1,51,88 
65,"Data Analyst, Retail Media",3.9, 5000 , Public,Internet, 5 B ,"MediaMath, Conversant, AppNexus",51,88 
